start_date,end_date,q01,q02,q04_01,q04_02,q04_03,q04_04,q04_05,q04_06,q05,q07_01,q07_02,q07_03,q07_04,q07_05,q07_06,q07_07,q07_08,q07_09,q07_10,q07_11,q08_01,q08_02,q08_03,q08_04,q08_05,q08_06,q08_07,q08_08,q08_09,q08_10,q08_11,q08_12,q10_01,q10_02,q10_03,q10_04,q10_05,q10_06,q10_07,q10_08,q11_01,q11_02,q11_03,q11_04,q11_05,q12_01,q12_02,q12_03,q12_04,q12_05,q12_06,q12_07,q13,q14,q15,q17,q18,q19_01,q19_02,q19_03,q19_04,q19_05,q19_06,q19_07,q20_01,q20_02,q20_03,q20_04,q20_05,q20_06,q21_01,q21_02,q21_03,q21_04,q22,q24,q25_01,q25_02,q25_03,q26,q28,q29,q30,q34,q35,q36,racethn4,educ4,age3,has_children,orientation,weight,is_employed,employment_status
2018-05-11 03:07:00,2018-05-11 03:16:00,1.0,0.6666666666666666,True,True,True,True,True,True,False,0.25,0.5,0.5,0.5,0.75,0.25,1.0,0.5,0.5,0.5,0.75,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,You weren't sure it was sexual harassment,0.6666666666666666,False,True,1.0,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,Married,True,True,False,Straight,White,College graduate,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,True,Straight,0.5007129029999999,True,working full-time
2018-05-11 05:18:00,2018-05-11 05:33:00,0.6666666666666666,0.3333333333333333,True,False,False,False,False,False,True,0.75,0.25,0.0,0.5,1.0,0.25,1.0,0.25,0.5,0.25,0.25,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,0.75,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,Married,False,False,True,Straight,White,Some college,South Carolina,"$25,000-$49,999",South Atlantic,Other,White,Some college,35 - 64,False,Straight,0.617906017,False,not looking for work
2018-05-11 05:50:00,2018-05-11 05:53:00,1.0,0.6666666666666666,True,False,True,False,False,False,False,0.25,0.25,0.75,0.75,1.0,0.0,1.0,0.25,0.25,0.75,0.5,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.5,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,Married,False,False,True,Straight,White,College graduate,Florida,"$125,000-$149,999",South Atlantic,MacOS Desktop / Laptop,White,College or more,35 - 64,False,Straight,0.545344405,False,not looking for work
2018-05-11 05:51:00,2018-05-11 06:21:00,1.0,1.0,False,False,False,False,True,True,True,0.0,0.25,0.25,0.5,1.0,0.75,1.0,0.0,0.0,0.5,0.25,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,0.0,,True,1.0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,Married,True,False,False,Straight,Black,Some college,California,"$10,000-$24,999",,Android Phone / Tablet,Black,Some college,18 - 34,True,Straight,3.398346389,True,working full-time
2018-05-11 06:26:00,2018-05-11 06:30:00,0.0,0.0,True,False,False,True,False,False,True,0.75,0.25,0.25,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,False,0.0,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,Never married,False,False,True,Straight,White,High school or G.E.D.,Massachusetts,Prefer not to answer,New England,MacOS Desktop / Laptop,White,High school or less,18 - 34,False,Straight,8.643673599,False,student
2018-05-11 08:17:00,2018-05-11 08:23:00,0.6666666666666666,0.6666666666666666,True,False,False,False,False,False,False,0.75,0.5,0.25,0.5,1.0,0.25,1.0,0.25,0.0,0.75,0.5,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,Married,False,True,False,Straight,White,Post graduate degree,West Virginia,Prefer not to answer,South Atlantic,MacOS Desktop / Laptop,White,Post graduate degree,65 and up,True,Straight,0.058149837,False,not looking for work
2018-05-11 08:45:00,2018-05-11 08:51:00,0.6666666666666666,0.3333333333333333,True,False,False,True,False,False,True,0.25,0.0,0.5,0.25,0.5,0.25,0.75,0.5,0.25,0.0,0.0,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,,0.6666666666666666,False,True,0.5,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,Married,True,False,False,Bisexual,White,Post graduate degree,Minnesota,"$50,000-$74,999",West North Central,Windows Desktop / Laptop,White,Post graduate degree,35 - 64,True,Gay/Bisexual,0.105632571,True,working full-time
2018-05-11 08:52:00,2018-05-11 09:03:00,0.6666666666666666,0.3333333333333333,True,False,True,True,False,False,True,0.75,0.5,0.5,0.25,1.0,0.0,1.0,0.0,0.75,0.75,0.25,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,,1.0,False,False,0.75,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,Married,False,False,True,Straight,White,College graduate,Kansas,"$100,000-$124,999",West North Central,Windows Desktop / Laptop,White,College or more,35 - 64,False,Straight,0.7169073509999999,True,working full-time
2018-05-11 09:32:00,2018-05-11 09:45:00,1.0,0.6666666666666666,False,True,False,False,False,False,False,0.25,0.25,0.75,,1.0,0.0,1.0,0.0,0.25,0.75,0.75,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,,0.6666666666666666,False,False,0.75,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,Widowed,False,True,False,Straight,White,College graduate,Florida,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,White,College or more,65 and up,True,Straight,0.5124084210000001,True,working part-time
2018-05-11 10:11:00,2018-05-11 10:16:00,0.6666666666666666,0.6666666666666666,True,False,False,False,False,False,False,0.75,0.75,1.0,0.5,0.75,0.25,1.0,0.0,0.0,1.0,1.0,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,1.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,Never married,False,False,True,Straight,Black,High school or G.E.D.,California,"$10,000-$24,999",Pacific,Windows Desktop / Laptop,Black,High school or less,35 - 64,False,Straight,2.632241555,False,looking for work
